Nom,Sexe,Âge,Département,Fonction,Service,Date d'embauche,Salaire de base,Prime,Statut,Salaire total
Monique Joseph Le Renard,Homme,33,Alibori,RH,RH,12/14/2022,295002.82,50174.2,Stage,345177.02
Pierre-Gilles Chauveau,Femme,33,Couffo,Manager,Technique,8/18/2021,378537.95,3649.45,CDD,382187.4
Vincent Gautier-Briand,Homme,24,Collines,Développeur,Finance,9/21/2018,435523.85,117403.44,CDI,552927.29
Emmanuel Labbé-Maury,Femme,45,Mono,Commercial,Commercial,11/8/2019,372695.42,80080.42,Stage,452775.83999999997
Agnès Nicolas,Homme,56,Couffo,Développeur,Support,3/30/2021,419237.25,119654.19,Consultant,538891.44
Guy Fontaine,Homme,51,Zou,Manager,Commercial,3/30/2019,282551.62,76087.86,Consultant,358639.48
Valentine Le Rocher,Homme,22,Alibori,Chargé de clientèle,Commercial,4/20/2016,83956.05,7318.25,Stage,91274.3
Audrey Lefort-Lombard,Femme,39,Collines,Comptable,RH,8/16/2020,204008.45,12941.83,Stage,216950.28
Sébastien Breton,Femme,53,Zou,Manager,Technique,3/1/2016,280734.98,61566.88,Stage,342301.86
Gilbert Delattre,Homme,32,Atlantique,Manager,Commercial,8/30/2022,432328.06,89456.36,Consultant,521784.42
Margaret Roy,Homme,48,Mono,Technicien,Support,1/31/2024,137243.93,14197.83,Stage,151441.75999999998
Julie Riou,Homme,53,Collines,RH,Finance,3/11/2024,142162.94,9598.91,Stage,151761.85
Roger Joly Le Grenier,Femme,50,Couffo,Chargé de clientèle,Technique,2/27/2018,317790.55,8658.07,CDD,326448.62
Nath Turpin de la Vaillant,Homme,51,Alibori,RH,Finance,3/21/2020,392707.98,89205.88,Consultant,481913.86
Julien Tessier,Femme,31,Atacora,Développeur,Technique,1/7/2023,97818.65,22567.88,Consultant,120386.53
Agnès Perrot,Femme,48,Littoral,Commercial,RH,2/28/2024,310820.87,22100.14,Stage,332921.01
Antoine Leleu,Femme,29,Atlantique,Développeur,IT,4/24/2017,101171.63,5993.23,CDD,107164.86
Suzanne Muller,Homme,25,Alibori,Manager,Commercial,3/15/2021,461354.67,35743.76,Consultant,497098.43
Aimé Perret,Femme,28,Donga,Technicien,Support,4/5/2021,336217.86,75568.49,CDI,411786.35
Honoré Baudry,Femme,45,Borgou,RH,Technique,6/7/2018,184742.15,20947.96,CDD,205690.11
Bernard Cousin,Homme,39,Mono,Chargé de clientèle,IT,10/19/2017,466696.59,18768.25,Consultant,485464.84
Vincent Daniel,Femme,33,Littoral,RH,IT,1/16/2020,102426.68,15158.14,Consultant,117584.81999999999
David du Lemonnier,Femme,51,Ouémé,Commercial,Finance,6/6/2020,279206.19,25619.15,CDI,304825.34
Laurence Le Goff de Olivier,Homme,44,Couffo,Manager,Technique,8/26/2020,116002.6,21408.63,Consultant,137411.23
Victoire Le Laurent,Homme,23,Atlantique,Comptable,RH,5/22/2024,105512.6,5361.15,Consultant,110873.75
Christophe Carre,Femme,38,Borgou,Comptable,Technique,2/19/2024,430625.05,65538.88,Consultant,496163.93
Alexandre Hervé,Femme,55,Alibori,RH,Commercial,6/13/2022,296556.59,31649.74,Stage,328206.33
Éric Brunel,Homme,41,Alibori,RH,Support,3/8/2023,305256.35,7076.2,CDI,312332.55
Alice Gonzalez,Homme,56,Plateau,Chargé de clientèle,Commercial,12/10/2022,450947.19,42473.83,Consultant,493421.02
Laurence Marchal,Femme,42,Plateau,RH,Finance,3/2/2019,286648.93,82311.03,CDI,368959.95999999996
Alfred Olivier du Bonnet,Femme,53,Alibori,Technicien,Support,11/15/2021,266401.43,32140.01,CDD,298541.44
Rémy du Leroy,Femme,57,Borgou,Technicien,Technique,10/14/2022,203390.39,32566.78,CDI,235957.17
Caroline Martins,Femme,59,Mono,Commercial,Commercial,2/1/2017,269091.04,56376.88,CDD,325467.92
Geneviève Leroux,Femme,29,Ouémé,Manager,Finance,5/24/2018,105657.85,3843.74,Consultant,109501.59000000001
Aurélie David,Homme,58,Zou,Chargé de clientèle,Finance,11/3/2018,293777.81,19263.74,Consultant,313041.55
Maurice Renaud de Guillon,Homme,34,Borgou,Chargé de clientèle,IT,4/23/2016,80822.02,17329.03,CDI,98151.05
Charlotte-Renée Boulanger,Femme,59,Alibori,Développeur,Commercial,12/4/2021,298652.17,9216.07,CDI,307868.24
Éléonore Marchand-Martel,Femme,40,Collines,Chargé de clientèle,RH,5/9/2023,485048.94,99467.68,CDD,584516.62
Michel Hernandez,Homme,56,Borgou,Chargé de clientèle,Commercial,7/27/2024,411321.14,113346.72,CDI,524667.86
Zacharie Mathieu,Homme,53,Donga,Comptable,Support,8/2/2023,335607.99,39299.21,CDI,374907.2
Joséphine Dos Santos de Marty,Homme,46,Plateau,Commercial,RH,3/10/2022,281289.97,60823.74,CDD,342113.70999999996
Sabine Turpin de la Bailly,Homme,32,Mono,Comptable,Technique,11/4/2021,232726.81,10505.55,Consultant,243232.36
Georges Masse Le Royer,Femme,25,Couffo,Comptable,Finance,9/10/2017,343412.88,91198.52,CDD,434611.4
Thérèse Bonnet-Guibert,Homme,49,Alibori,RH,Commercial,7/31/2016,262581.56,38929.59,Stage,301511.15
Michel Laroche Le Evrard,Femme,53,Donga,Développeur,Commercial,6/27/2023,441730.19,16006.45,Stage,457736.64
Maurice Carlier,Homme,22,Zou,Manager,RH,7/13/2018,115057.19,11696.33,CDI,126753.52
Bertrand Noël,Femme,35,Alibori,Comptable,Support,7/4/2021,464568.63,32023.71,CDD,496592.34
Stéphanie-Michelle Gomes,Homme,29,Donga,Comptable,Technique,4/7/2017,171881.15,1867.56,Stage,173748.71
Olivier de Blondel,Homme,49,Atlantique,Manager,RH,12/12/2020,467810.06,64196.53,Stage,532006.59
Marthe-Amélie Vaillant,Femme,36,Littoral,Technicien,Commercial,11/22/2018,404432.51,17486.96,Consultant,421919.47000000003
Timothée de la Deschamps,Femme,37,Atacora,Comptable,Support,1/6/2016,83436.85,1209.41,Consultant,84646.26000000001
Geneviève Marty,Femme,38,Mono,Manager,IT,12/3/2017,312946.21,23232.95,Stage,336179.16000000003
Isabelle Allain,Homme,55,Donga,Chargé de clientèle,IT,3/1/2019,457275.04,80768.02,Stage,538043.0599999999
Frédérique Mendès,Femme,34,Mono,RH,Support,9/29/2019,337169.56,22780.44,Consultant,359950
Anastasie Diallo,Femme,55,Ouémé,Manager,Support,8/16/2017,421831.68,63220.44,Stage,485052.12
Olivie Techer-Thierry,Femme,53,Ouémé,Comptable,Finance,10/18/2019,105897.84,20257.4,Consultant,126155.23999999999
Adrienne-Agnès Lagarde,Femme,40,Zou,Comptable,RH,5/15/2016,146974.26,32640.23,Stage,179614.49000000002
Michelle Lopez de la Barre,Homme,34,Alibori,Technicien,Support,1/18/2021,438467.08,53866.69,Stage,492333.77
Luce Lefebvre du Cousin,Femme,28,Littoral,Comptable,Commercial,12/27/2023,394382.06,97162.5,Stage,491544.56
Henriette Lebrun,Femme,34,Borgou,RH,Support,9/20/2023,343921.78,54202.91,CDI,398124.69000000006
Manon Schneider de la Foucher,Homme,38,Alibori,Commercial,IT,4/9/2022,469546.79,111382.65,CDD,580929.44
Jérôme-Augustin Alexandre,Femme,60,Atacora,Commercial,RH,9/20/2018,344450.69,92949.77,CDI,437400.46
Hugues-Daniel Leleu,Femme,32,Plateau,Commercial,Technique,4/26/2018,354091.39,35447.29,CDD,389538.68
Vincent de la Klein,Homme,29,Collines,Chargé de clientèle,Finance,7/7/2023,217215.25,1175.75,Stage,218391
Grégoire Joseph de Clément,Homme,39,Donga,Chargé de clientèle,RH,11/2/2023,413462.71,109093.26,Stage,522555.97000000003
Marie Buisson,Femme,26,Mono,RH,Commercial,12/14/2022,238880.06,64612.22,Consultant,303492.28
Emmanuel Baudry-Devaux,Homme,38,Zou,Développeur,Commercial,9/29/2021,83128.57,4319.69,CDD,87448.26000000001
Gilbert Pires,Femme,47,Littoral,Manager,IT,8/14/2016,181760.49,12014.77,CDD,193775.25999999998
Capucine Fleury,Femme,31,Plateau,Développeur,RH,8/25/2019,177078.01,13989.18,CDI,191067.19
René-Jules Chauvin,Femme,55,Mono,RH,Commercial,3/31/2017,122800.37,32344.9,CDD,155145.27
Susan Lagarde-Lecomte,Homme,47,Borgou,Manager,Technique,5/13/2024,438752.42,49627.87,Stage,488380.29
Antoine de Dupré,Femme,47,Plateau,Chargé de clientèle,IT,6/13/2020,186957.95,44560.18,Stage,231518.13
Manon Dumas,Homme,30,Mono,Manager,IT,3/24/2020,382821.67,67805,CDI,450626.67
Guy Duval,Homme,27,Couffo,Développeur,Support,1/8/2020,317711.63,11485.82,CDD,329197.45
Isaac Roux,Femme,48,Couffo,Chargé de clientèle,Support,11/11/2017,100722.19,18935.69,Consultant,119657.88
Claude Pires Le Étienne,Femme,40,Plateau,Chargé de clientèle,Technique,3/27/2021,240386.58,71222.15,CDD,311608.73
Hélène Julien,Homme,40,Alibori,Comptable,Commercial,6/16/2016,273474.81,49755.53,CDI,323230.33999999997
Éric-Olivier Poirier,Femme,46,Atlantique,Commercial,Technique,8/7/2018,280443.32,46388.37,Consultant,326831.69
Franck Gay,Homme,55,Mono,Manager,RH,2/10/2020,284887.97,51894.17,CDD,336782.13999999996
Luc Barthelemy,Femme,49,Mono,Chargé de clientèle,Commercial,6/6/2024,374536.53,45276.26,CDI,419812.79000000004
Sophie Rousseau du Renaud,Femme,32,Alibori,Comptable,Support,6/7/2021,178272.44,4378.5,CDI,182650.94
Julie Lefèvre,Homme,44,Littoral,Chargé de clientèle,Finance,3/12/2018,87260.39,2728.28,CDI,89988.67
David Roy,Homme,51,Donga,Chargé de clientèle,Commercial,5/6/2018,294209.5,36217.57,CDI,330427.07
Lucas Verdier Le Julien,Femme,37,Atacora,Comptable,Support,5/21/2016,282774.41,10238.69,CDI,293013.1
Margot Martins,Femme,57,Couffo,Commercial,Commercial,1/10/2017,206794.82,33237.75,CDI,240032.57
Célina du Bonnet,Homme,34,Ouémé,Développeur,Technique,11/11/2020,111960.5,9320.63,Consultant,121281.13
Zacharie Guillaume,Femme,29,Littoral,Développeur,Finance,5/11/2018,141053.22,678.65,CDI,141731.87
Rémy Bousquet,Homme,31,Collines,Commercial,Finance,12/29/2021,121754.28,6237.64,Stage,127991.92
Alfred-Julien Legendre,Homme,54,Ouémé,RH,IT,5/16/2020,425807.64,164.15,Stage,425971.79000000004
Aimé Prévost,Homme,42,Atlantique,Chargé de clientèle,Support,12/10/2016,163173.31,40950.63,Stage,204123.94
Diane Mercier,Femme,52,Plateau,Chargé de clientèle,Commercial,10/10/2020,477956.13,115209.48,Consultant,593165.61
Olivie Langlois,Femme,37,Plateau,Comptable,Commercial,5/4/2016,343113.84,28398.1,CDD,371511.94
Alexandrie de Olivier,Femme,33,Plateau,Commercial,Commercial,7/31/2019,114819.72,17975.32,CDD,132795.04
Philippine Roy,Femme,41,Atlantique,Développeur,IT,5/11/2018,89745.58,5257.72,Consultant,95003.3
Édouard Guichard,Homme,60,Mono,Technicien,IT,12/12/2020,154676.86,42245.51,CDI,196922.37
Henri Benard-Guillot,Femme,30,Zou,Technicien,IT,2/12/2023,167274.29,15527.18,Consultant,182801.47
Christiane Thomas,Homme,58,Ouémé,RH,Support,5/26/2018,144480.43,23605.16,CDI,168085.59
Auguste Pons,Homme,60,Alibori,Chargé de clientèle,Finance,5/4/2017,305165.75,51672.69,Stage,356838.44
Henriette de la Lefort,Femme,40,Donga,Chargé de clientèle,Finance,10/9/2023,87488.85,15961.33,Stage,103450.18000000001
Françoise Lesage,Homme,31,Collines,Développeur,IT,4/8/2020,216238.27,35988.43,CDI,252226.69999999998
Marcel Laroche,Femme,49,Couffo,Commercial,Technique,8/2/2020,347507.24,87082.37,Stage,434589.61
Christine Guibert,Femme,54,Plateau,RH,IT,2/4/2016,472011.17,15086.07,CDD,487097.24
Laurent de la Huet,Femme,37,Ouémé,Développeur,Commercial,3/26/2023,440931.32,1208.44,CDI,442139.76
Chantal Blanchard du Lopes,Femme,24,Atlantique,Chargé de clientèle,Commercial,3/30/2024,133881.7,28399.27,Consultant,162280.97
Charlotte Collin,Homme,30,Zou,Développeur,Finance,10/28/2023,470430.52,140307.01,CDI,610737.53
Joséphine-Marcelle Daniel,Femme,23,Zou,RH,Finance,8/11/2021,288275.79,4188.68,CDI,292464.47
Patricia Bertrand,Femme,35,Collines,Technicien,Commercial,8/9/2017,320190.28,42582.26,CDI,362772.54000000004
Margot-Laetitia Garnier,Homme,34,Zou,RH,Finance,2/26/2021,124733.23,2998.09,Stage,127731.31999999999
Jules Regnier de Caron,Homme,32,Borgou,Comptable,Finance,2/1/2018,211821.82,39187.82,Consultant,251009.64
Bertrand de Vidal,Homme,27,Plateau,Commercial,Finance,4/3/2023,220582,62586.88,CDD,283168.88
Roland Vallet,Homme,28,Plateau,RH,IT,1/8/2019,80919.57,14801.33,Stage,95720.90000000001
Alix Navarro,Femme,60,Mono,Technicien,Commercial,6/26/2022,237232.18,28653.8,CDI,265885.98
Théophile Charles,Homme,42,Alibori,Chargé de clientèle,Finance,10/1/2022,430473.5,77404.23,CDD,507877.73
Christine Boulay,Femme,40,Zou,Technicien,IT,3/18/2017,354217.68,32111.11,CDD,386328.79
Anne Bonnet du Étienne,Homme,35,Ouémé,RH,Support,3/2/2016,297124.45,47248.94,CDI,344373.39
Guy Bonneau,Homme,40,Ouémé,Développeur,Commercial,8/30/2016,322014.29,4894.95,CDI,326909.24
Maryse Gimenez-Leleu,Femme,58,Alibori,Chargé de clientèle,Finance,8/31/2016,447708.03,47303.82,CDD,495011.85000000003
Olivier Teixeira-Foucher,Femme,53,Couffo,Technicien,Technique,6/29/2021,133803.14,33772.63,CDD,167575.77000000002
Alix Mendès,Femme,44,Atlantique,Manager,IT,9/3/2019,421892.66,30106.57,Stage,451999.23
Brigitte Cousin,Femme,22,Atlantique,Technicien,RH,3/24/2024,172093.72,19880.42,CDI,191974.14
Joséphine Marty,Femme,60,Atlantique,Chargé de clientèle,RH,8/1/2022,461162.93,52365.31,CDI,513528.24
Margaret François,Homme,35,Donga,Commercial,Finance,5/23/2021,237865.79,35183.64,Consultant,273049.43
Charlotte Carlier,Femme,40,Borgou,Manager,IT,9/17/2017,144245.83,37613.04,CDD,181858.87
Élise Lagarde,Femme,45,Alibori,Comptable,Support,4/5/2017,166421.67,9365.63,CDD,175787.30000000002
Xavier de la Poirier,Homme,43,Mono,Commercial,Finance,2/18/2021,123040.39,8654.79,CDD,131695.18
Raymond Morvan,Femme,57,Alibori,Commercial,Finance,3/29/2023,337042.52,97620.85,CDD,434663.37
Noël Coste,Femme,50,Borgou,Manager,RH,5/25/2016,422670.51,31248.68,CDD,453919.19
Anne-Madeleine Dupré,Femme,53,Couffo,Commercial,Support,11/19/2020,451341.66,91835.55,CDD,543177.21
William de la Diallo,Homme,34,Couffo,Manager,RH,10/17/2016,256198.81,66128.6,Consultant,322327.41000000003
Maggie Laporte,Homme,49,Atlantique,Commercial,Commercial,2/6/2018,310695.22,38316.47,CDI,349011.68999999994
Véronique Klein-Marie,Homme,53,Alibori,Chargé de clientèle,Finance,9/11/2023,179580.41,52452.81,CDD,232033.22
Daniel Mercier,Homme,38,Ouémé,Comptable,RH,3/7/2023,436761.93,60131.72,CDI,496893.65
Vincent-Théodore Da Silva,Femme,26,Mono,Commercial,Commercial,3/13/2017,497461.08,36914.48,Consultant,534375.56
Joseph Vallée,Femme,51,Zou,Manager,Finance,11/22/2021,129508.31,5053.59,CDD,134561.9
Christophe Launay du Lenoir,Homme,39,Zou,Chargé de clientèle,Support,6/13/2019,266002.65,67807.43,CDI,333810.08
Noël Masson,Femme,30,Ouémé,RH,Finance,11/13/2017,347248.43,4110.33,CDI,351358.76
Marianne du Toussaint,Femme,34,Collines,Comptable,RH,3/23/2018,81085.8,2212.99,Consultant,83298.79000000001
Xavier Mahe,Homme,49,Alibori,Développeur,Finance,5/14/2023,469622.51,49431.77,Stage,519054.28
Laurence Fabre-Hernandez,Homme,50,Alibori,RH,Support,4/18/2022,186620.3,136.24,CDI,186756.53999999998
Édouard Deschamps,Homme,42,Couffo,Technicien,Technique,3/26/2019,189903.85,25287.05,CDD,215190.9
Élise Le Gomes,Homme,49,Mono,Manager,Support,6/22/2023,88024.99,10970.06,Stage,98995.05
Frédérique de la Guillot,Femme,26,Littoral,Technicien,Commercial,12/27/2017,320165.44,74190.35,Consultant,394355.79000000004
Vincent-Joseph Dufour,Homme,30,Borgou,Comptable,IT,9/16/2019,172917.06,8670.37,CDI,181587.43
Antoine Potier Le Colin,Femme,30,Ouémé,Technicien,Support,3/2/2024,121382.67,23189.11,CDD,144571.78
Sylvie Fabre-Lemaître,Homme,51,Borgou,Manager,RH,4/22/2023,459785.44,114202.91,CDI,573988.35
Augustin du Alves,Homme,24,Plateau,Chargé de clientèle,RH,12/25/2023,403008.14,22431.77,CDI,425439.91000000003
Éric-Luc Techer,Femme,34,Littoral,Développeur,Finance,4/7/2016,288254.14,40064.96,CDI,328319.10000000003
Dominique Meunier,Femme,56,Atlantique,Chargé de clientèle,IT,8/16/2021,442765.2,116939.34,CDD,559704.54
Joséphine Bouvier,Homme,50,Littoral,RH,Finance,4/8/2022,81071.48,16591.48,CDI,97662.95999999999
Guillaume Huet,Homme,58,Zou,Comptable,Technique,9/29/2018,348036.16,85135.25,Stage,433171.41
Luc Vaillant,Homme,43,Plateau,Commercial,Finance,5/7/2022,435976.96,108484.56,CDD,544461.52
Luce Guichard-Maurice,Femme,40,Atacora,Commercial,IT,12/26/2021,275866.06,405.35,CDI,276271.41
Zacharie Langlois,Femme,41,Collines,RH,Support,3/13/2017,146617.81,13248.33,Consultant,159866.13999999998
Eugène Le Jourdan,Femme,39,Collines,Manager,RH,3/22/2022,390791.94,10771.67,CDI,401563.61
Emmanuel Peron du Rodriguez,Homme,43,Donga,RH,Finance,11/12/2016,463267.87,14573.76,CDD,477841.63
Théodore Potier,Homme,42,Plateau,Développeur,Finance,3/29/2020,357449.29,100693.48,CDD,458142.76999999996
Roland Lecomte,Femme,36,Plateau,Comptable,Finance,4/27/2019,437322.83,97363.63,Consultant,534686.46
Chantal-Michelle Dupuis,Homme,49,Donga,Manager,Support,8/2/2024,497821.41,24264.09,CDI,522085.5
Édith Da Silva Le Lemonnier,Homme,40,Plateau,RH,IT,2/18/2018,83983.83,120.7,Stage,84104.53
Alfred Reynaud-Gonzalez,Femme,34,Plateau,Développeur,Finance,5/22/2024,376000.64,78592.39,CDD,454593.03
Stéphane-Thomas Klein,Homme,25,Zou,Commercial,Technique,4/22/2021,151872.79,1199.36,CDI,153072.15
Charlotte-Pénélope Chevalier,Homme,48,Borgou,Technicien,Finance,5/4/2022,197140.9,16753.11,CDI,213894.01
Adrien Richard,Femme,45,Atlantique,Chargé de clientèle,Technique,6/10/2023,494307.23,122414.09,Stage,616721.32
Agnès Dupuy,Homme,52,Plateau,Manager,RH,7/22/2021,361742.8,29021.75,CDI,390764.55
André Laurent,Homme,53,Collines,Manager,Technique,11/27/2015,113380.26,1848.58,Stage,115228.84
Guy Albert,Homme,54,Ouémé,Manager,Support,10/17/2016,207474.87,27858.99,Consultant,235333.86
Andrée Besnard-Roger,Homme,44,Couffo,Technicien,IT,5/15/2019,280655.94,70201.85,Stage,350857.79000000004
Christine Guichard,Homme,41,Couffo,Commercial,IT,1/9/2019,288350.79,85091.13,CDD,373441.92
Jérôme Gomez-Delmas,Homme,53,Littoral,Comptable,Technique,2/4/2024,285828.08,47663.15,CDD,333491.23000000004
Thibaut Petit,Femme,33,Alibori,Technicien,IT,10/18/2024,465154.41,40676.09,Stage,505830.5
Antoinette Toussaint du Meyer,Femme,33,Mono,Chargé de clientèle,Finance,8/19/2022,436795.75,108425.94,Stage,545221.69
Isabelle Robert de Ruiz,Femme,59,Alibori,Développeur,Support,9/14/2017,222615.39,10830.74,Stage,233446.13
Stéphane Carpentier,Femme,29,Littoral,RH,RH,12/4/2018,366468.4,35472.21,CDI,401940.61000000004
Isaac Da Costa,Homme,37,Zou,Comptable,Commercial,8/18/2023,272652.05,71264.95,Stage,343917
Nath Guérin-Moreno,Femme,30,Plateau,Comptable,Commercial,8/13/2020,354724.25,100310.61,CDI,455034.86
Roland Chauvet,Homme,24,Couffo,Manager,Support,1/24/2019,253616.74,34850.29,CDD,288467.02999999997
Françoise Benoit du Girard,Femme,22,Collines,Commercial,Support,10/21/2018,214737.68,28809.03,CDD,243546.71
Alexandre Roger,Homme,24,Borgou,Chargé de clientèle,Technique,5/4/2024,430521.1,22754.28,Stage,453275.38
Anastasie Lejeune,Femme,41,Mono,Technicien,IT,7/17/2022,494679.56,132820.74,CDD,627500.3
Brigitte Étienne,Femme,53,Plateau,Technicien,Commercial,9/19/2023,192118.05,20350.51,CDI,212468.56
Martine Lemaire,Homme,34,Alibori,Comptable,Finance,6/28/2016,130874.84,2143.25,Consultant,133018.09
Stéphane Jacquot,Femme,27,Plateau,Développeur,RH,11/22/2022,211492.09,1692.05,Consultant,213184.13999999998
Jérôme De Sousa,Femme,31,Atacora,RH,Commercial,7/2/2017,255190.44,32314.79,CDD,287505.23
Patricia Bousquet-Jean,Femme,56,Couffo,RH,Support,9/13/2020,317757.92,52293.34,CDD,370051.26
Georges Pinto-Vincent,Homme,44,Atlantique,Chargé de clientèle,Finance,12/13/2021,96789.76,22851.5,Stage,119641.26
Laetitia Klein,Homme,34,Alibori,Chargé de clientèle,Support,9/6/2022,194998.44,23278.1,CDI,218276.54
Martine Lelièvre,Femme,51,Littoral,Chargé de clientèle,Finance,11/15/2016,352617.44,70259.96,Consultant,422877.4
Matthieu Robin-De Sousa,Homme,44,Plateau,Comptable,RH,12/15/2016,290023.84,60282.92,CDI,350306.76
Dorothée Vallée,Femme,44,Ouémé,Comptable,IT,12/16/2018,189673.57,35139.2,Consultant,224812.77000000002
Hélène Mahe,Femme,44,Alibori,RH,Technique,10/1/2017,262301.92,31807.62,CDD,294109.54
Paul Rey,Homme,58,Alibori,Commercial,Support,8/22/2017,455418.62,129551.63,Stage,584970.25
André Guilbert,Femme,53,Plateau,Manager,Support,4/21/2020,377727.94,96988.26,Stage,474716.2
Rémy Henry de David,Homme,23,Atlantique,Technicien,Support,1/14/2022,258822.61,6868.13,Consultant,265690.74
Philippe Jean,Homme,32,Borgou,Manager,Technique,5/13/2023,442963.63,43246.77,Stage,486210.4
Josette Petit,Homme,34,Couffo,Chargé de clientèle,Support,5/27/2024,341988.94,14245.66,Consultant,356234.6
Virginie Leclercq,Homme,45,Couffo,RH,Commercial,11/10/2022,95613.22,8627.75,Consultant,104240.97
Rémy Pottier,Femme,22,Alibori,Technicien,Commercial,5/31/2017,387672.78,77562.84,CDD,465235.62
Louis Colas,Femme,41,Atacora,Technicien,RH,10/8/2022,402044.7,22783.4,Consultant,424828.10000000003
Alphonse Noël,Femme,34,Ouémé,Manager,Technique,11/9/2022,410508.89,112544.55,Stage,523053.44
Stéphane Garcia de Tessier,Femme,57,Borgou,Chargé de clientèle,IT,10/16/2023,122926.26,34088.94,CDD,157015.2
David Chevallier,Homme,33,Zou,RH,Finance,7/28/2023,174621.46,36231.53,Stage,210852.99
Geneviève Fernandes,Femme,44,Ouémé,Développeur,Support,2/14/2019,339129.04,40950.58,CDI,380079.62
Jean Neveu,Femme,37,Plateau,RH,Technique,6/14/2021,493965.3,41024.25,CDI,534989.55
Henriette-Alix Chauvet,Femme,50,Plateau,Chargé de clientèle,Finance,9/14/2016,316276.39,16555.53,Stage,332831.92000000004
Daniel-Marcel Michaud,Homme,50,Donga,Chargé de clientèle,Commercial,8/27/2024,478861.32,322.42,CDI,479183.74
Marthe Bonnet-Leclerc,Homme,25,Borgou,Chargé de clientèle,RH,5/7/2024,310547.48,49200.8,CDD,359748.27999999997
